Deductive Coding Annotation Sheet — Annotator 1,,,,
"Instructions: For each claim, assign ONE code from the taxonomy sheet. Write the exact code name in column D. Leave column E for comments if uncertain.",,,,
#,Claim ID,Claim Text,Your Code,Notes (optional)
▸  Theme: Build Patterns,,,,
1,C986,SHORTEN THE BUILD TIME,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,
2,C916,CI IMPROVES THE CAPACITY TO RELEASE CLEAN CODE (CLEAN RELEASE BUILDS),CI IS ASSOCIATED WITH BUILD HEALTH,
3,C903,CI ENCOURAGES DEVELOPERS TO GIVE VERY HIGH PRIORITY TO FIX BUILD BREAKAGES.,CI IS ASSOCIATED WITH BUILD HEALTH,
4,C985,DECREASES BUILD BREAKAGE,CI IS ASSOCIATED WITH BUILD HEALTH,
5,C915,CI INCREASES THE PROPORTION OF SUCCESSFUL BUILDS,CI IS ASSOCIATED WITH BUILD HEALTH,
▸  Theme: Development Activities,,,,
6,C955,MAGNETISM AND STICKINESS VALUES TEND TO DROP AFTER TRAVIS CI HAS BEEN ADOPTED,CI IS ASSOCIATED WITH A DECREASE IN MAGNETISM AND RETENTION,
7,C956,THE CI ADOPTION LEADS TO A WORSENING IN THE PERCEIVED TEAM PRODUCTIVITY.,CI IS ASSOCIATED WITH A DECREASED PERCEPTION OF PRODUCTIVITY,
8,C957,THE COGNITIVELY DIFFICULT TASK OF INCONSISTENCY PREDICTION IS ABANDONED,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,
9,C897,CI REDUCES THE CHECKIN OVERHEAD,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,
10,C1014,CI DECREASED TEAM WORKLOAD FOR PAPERWORK,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,
11,C1003,CI IMPLY MONETARY COSTS,CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,
12,C898,"THE STUDY ALSO INDICATES THAT CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY, AS IN MANY PULL REQUESTS DEVELOPERS HAVE TO SOLVE NON-TRIVIAL CI CONFIGURATION ISSUES.",CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,
13,C933,ADDITIONAL EFFORT WAS ALSO EVIDENCED WHEN APPLY CI,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,
14,C1002,CI REQUIRES ADDITIONAL EFFORT,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,
15,C894,"THE MORE CONTINUOUS INTEGRATION IS PRESENT WITHIN THE SYSTEMS DEVELOPMENT PROCESS, THE GREATER THE STAKEHOLDER SATISFACTION",CI IS ASSOCIATED WITH AN IMPROVEMENT IN SATISFACTION,
16,C960,THE COGNITIVE TRACTABILITY OF THE PROGRAMMING TASK IS INCREASED BY THE SINGLE-PROGRAMMER ASSUMPTION.,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,
17,C975,MAKES THE TEAM LESS WORRIED ABOUT BREAKING THE BUILD,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,
18,C907,CONTINUOUS INTEGRATION INCREASES THE CONFIDENCE ABOUT THE QUALITY.,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,
19,C928,CONTINUOUS INTEGRATION GIVES MORE CONFIDENCE TO PERFORM REQUIRED CODE CHANGES,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,
20,C962,CI -> LESS WORRY ABOUT BREAKING THE BUILD,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,
21,C1000,CI IMPROVES THE DEVELOPER'S CONFIDENCE TO PERFORM THE REQUIRED CODE CHANGES.,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,
22,C932,CONTINUOUS INTEGRATION TECHNIQUES REQUIRE DEVELOPERS A CERTAIN LEVEL OF DISCIPLINE,CI IS ASSOCIATED WITH HUMAN CHALLENGES,
23,C973,CONTINUOUS INTEGRATION IS NOT APPLIED DURING CRITICAL PERIODS FOR SOME DOMAIN (FINANCIAL AND E-COMMERCE),CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,
24,C982,CI CAUSE LESS TIME DEBUGGING,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,
25,C904,CD INCREASES THE THROUGHPUT PER  DEVELOPER,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,
26,C936,CI IMPROVES PRODUCTIVITY,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,
27,C941,CI INCREASES DEVELOPER PRODUCTIVITY (MENTION CONTINUOUS INTEGRATION AND CONTINUOUS DEPLOYMENT AS MAJOR BUILDING BLOCKS OF AN EFFICIENT AUTOMATED LOOP COMPRISING DIFFERENT FULFILLMENT LEVELS),CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,
28,C906,CONTINUOUS INTEGRATION INCREASES DEVELOPMENT EFFICIENCY,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,
29,C922,CI CONTRIBUTES   TO   INCREASED   DEVELOPER   PRODUCTIVITY (AS   AN  EFFECT  OF FACILITATING PARALLEL  DEVELOPMENT IN THE SAME  SOURCE   CONTEXT),CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,
30,C992,CI  SPEED UP DEVELOPMENT PRACTICE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,
31,C972,PROJECTS WITH CI ARE MORE PRODUCTIVE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,
32,C1004,"CI MAY BE CHALLENGING BY FLAKY TESTS (EG, “TESTS CAN SOMETIMES BE FLAKY, WHICH IS FRUSTRATING ”)",CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,
33,C931,ANOTHER RECURRING PROBLEM OF CI IS THE FALSE SENSE OF CONFIDENCE,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,
34,C1001,CI IS ASSOCIATED TO A FALSE SENSE OF CONFIDENCE (AS A SITUATION WHERE DEVELOPERS BLINDLY TRUST THE TESTS).,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,
▸  Theme: Integration Patterns,,,,
35,C892,CI INCREASES NORMALIZED COMMIT FREQUENCY [FOR OSS PROJECTS],CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,
36,C893,CI INCREASES COMMIT SIZE [FOR OSS PROJECTS],CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,
37,C950,CI IS RELATED TO SMALL MERGE COMMITS,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,
38,C951,CI IS RELATED TO AN INCREASE OF MERGE COMMITS,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,
39,C987,SHORTEN THE INTEGRATION TIME,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,
40,C966,CI MAKES INTEGRATION EASIER.,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,
41,C980,CI MAKES INTEGRATION EASIER,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,
42,C946,"SURPRISINGLY, IN 54% OF THE PROJECTS, PRS HAVE A LONGER LIFETIME AFTER ADOPTING CI",CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
43,C945,"IN 73% (46/63) OF THE PROJECTS, PRS ARE MERGED FASTER BEFORE ADOPTING CI",CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
44,C948,AFTER ADOPTING CI PROJECTS DELIVER 3.43 TIMES MORE PRS PER RELEASE THAN BEFORE CI,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
45,C940,CI CAN HELP DETECT MERGING ISSUES EARLY AND EASILY,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,
46,C944,ONLY 51.3% OF THE PROJECTS DELIVER MERGED PRS MORE QUICKLY AFTER THE ADOPTION OF CI,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
47,C947,71.3% (62/87) OF THE PROJECTS INCREASE PR SUBMISSIONS AFTER ADOPTING CI.,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
48,C990,CI IS A DOMINANT FACTOR OF PULL REQUEST LATENCY.,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
49,C983,HELPS TO REJECT PROBLEMATIC PR,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
50,C914,"CI IS A DOMINANT FACTOR OF PULL-REQUEST ACCEPTANCE AND LATENCY. (THE PULL-REQUESTS WITH CI FAILURES HAVE ABOUT 89.6% GREATER ODDS OF BEING REJECTED EVENTUALLY.; FOR PULL-REQUEST LATENCY, THE CI RUNNING TIME IS HIGHLY SIGNIFICANT AND COVERS MORE THAN 21% OF THE VARIANCE EXPLAINED.)",CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
51,C952,MORE PRS ARE BEING CLOSED AFTER ADOPTING CI,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
52,C977,"CI BUILD STATUS CAN MAKE INTEGRATING PULL REQUESTS FASTER. WHEN USING CI, THE MEDIAN PULL REQUEST IS ACCEPTED 1.6 HOURS SOONER.",CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,
▸  Theme: Issues And Defects,,,,
53,C974,CI HELPS TO CATCH BUGS EARLY,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,
54,C961,CI HELPS CATCH BUGS EARLIER,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,
55,C1008,CI MAKES CAUGHT ISSUES EARLIER EVEN IN UNIT AND CSCI LEVEL TESTS,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,
56,C994,CI SUPPORTS THE TEAM TO CATCH PROBLEMS AS EARLY AS POSSIBLE.,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,
57,C937,CI REDUCES THE TURNAROUND TIME FOR RESOLVING BROKEN BUILDS,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,
