model,level,theme,n,accuracy
claude,L1,BUILD PATTERNS,50,0.6
claude,L1,QUALITY ASSURANCE,210,0.8571
claude,L1,INTEGRATION PATTERNS,180,0.8333
claude,L1,ISSUES AND DEFECTS,110,0.7273
claude,L1,DEVELOPMENT ACTIVITIES,290,0.9103
claude,L1,SOFTWARE PROCESS,290,0.8276
claude,L2,BUILD PATTERNS,50,0.6
claude,L2,QUALITY ASSURANCE,210,0.8476
claude,L2,INTEGRATION PATTERNS,180,0.8333
claude,L2,ISSUES AND DEFECTS,110,0.6364
claude,L2,DEVELOPMENT ACTIVITIES,290,0.8276
claude,L2,SOFTWARE PROCESS,290,0.8276
claude,L3,BUILD PATTERNS,50,0.6
claude,L3,QUALITY ASSURANCE,210,0.8
claude,L3,INTEGRATION PATTERNS,180,0.8333
claude,L3,ISSUES AND DEFECTS,110,0.5909
claude,L3,DEVELOPMENT ACTIVITIES,290,0.8621
claude,L3,SOFTWARE PROCESS,290,0.8276
claude,L4,BUILD PATTERNS,50,0.66
claude,L4,QUALITY ASSURANCE,210,0.8286
claude,L4,INTEGRATION PATTERNS,180,0.7778
claude,L4,ISSUES AND DEFECTS,110,0.7
claude,L4,DEVELOPMENT ACTIVITIES,290,0.8621
claude,L4,SOFTWARE PROCESS,290,0.7931
claude,L5,BUILD PATTERNS,50,0.8
claude,L5,QUALITY ASSURANCE,210,0.8095
claude,L5,INTEGRATION PATTERNS,180,0.7778
claude,L5,ISSUES AND DEFECTS,110,0.5455
claude,L5,DEVELOPMENT ACTIVITIES,290,0.8793
claude,L5,SOFTWARE PROCESS,290,0.7931
deepseek,L1,BUILD PATTERNS,50,0.8
deepseek,L1,QUALITY ASSURANCE,210,0.9048
deepseek,L1,INTEGRATION PATTERNS,180,0.8889
deepseek,L1,ISSUES AND DEFECTS,110,0.5455
deepseek,L1,DEVELOPMENT ACTIVITIES,290,0.7586
deepseek,L1,SOFTWARE PROCESS,290,0.7241
deepseek,L2,BUILD PATTERNS,50,0.8
deepseek,L2,QUALITY ASSURANCE,210,0.8571
deepseek,L2,INTEGRATION PATTERNS,180,0.8333
deepseek,L2,ISSUES AND DEFECTS,110,0.6364
deepseek,L2,DEVELOPMENT ACTIVITIES,290,0.7586
deepseek,L2,SOFTWARE PROCESS,290,0.7241
deepseek,L3,BUILD PATTERNS,50,0.8
deepseek,L3,QUALITY ASSURANCE,210,0.9048
deepseek,L3,INTEGRATION PATTERNS,180,0.8333
deepseek,L3,ISSUES AND DEFECTS,110,0.6364
deepseek,L3,DEVELOPMENT ACTIVITIES,290,0.7621
deepseek,L3,SOFTWARE PROCESS,290,0.6931
deepseek,L4,BUILD PATTERNS,50,0.8
deepseek,L4,QUALITY ASSURANCE,210,0.7619
deepseek,L4,INTEGRATION PATTERNS,180,0.8333
deepseek,L4,ISSUES AND DEFECTS,110,0.5455
deepseek,L4,DEVELOPMENT ACTIVITIES,290,0.7931
deepseek,L4,SOFTWARE PROCESS,290,0.6897
deepseek,L5,BUILD PATTERNS,50,0.8
deepseek,L5,QUALITY ASSURANCE,210,0.8048
deepseek,L5,INTEGRATION PATTERNS,180,0.8889
deepseek,L5,ISSUES AND DEFECTS,110,0.5455
deepseek,L5,DEVELOPMENT ACTIVITIES,290,0.7931
deepseek,L5,SOFTWARE PROCESS,290,0.6897
openai,L1,BUILD PATTERNS,50,0.58
openai,L1,QUALITY ASSURANCE,210,0.5381
openai,L1,INTEGRATION PATTERNS,180,0.5778
openai,L1,ISSUES AND DEFECTS,110,0.6364
openai,L1,DEVELOPMENT ACTIVITIES,290,0.7379
openai,L1,SOFTWARE PROCESS,290,0.4448
openai,L2,BUILD PATTERNS,50,0.44
openai,L2,QUALITY ASSURANCE,210,0.5571
openai,L2,INTEGRATION PATTERNS,180,0.6889
openai,L2,ISSUES AND DEFECTS,110,0.5909
openai,L2,DEVELOPMENT ACTIVITIES,290,0.7586
openai,L2,SOFTWARE PROCESS,290,0.4483
openai,L3,BUILD PATTERNS,50,0.4
openai,L3,QUALITY ASSURANCE,210,0.3952
openai,L3,INTEGRATION PATTERNS,180,0.6111
openai,L3,ISSUES AND DEFECTS,110,0.6364
openai,L3,DEVELOPMENT ACTIVITIES,290,0.7724
openai,L3,SOFTWARE PROCESS,290,0.4172
openai,L4,BUILD PATTERNS,50,0.4
openai,L4,QUALITY ASSURANCE,210,0.4048
openai,L4,INTEGRATION PATTERNS,180,0.6111
openai,L4,ISSUES AND DEFECTS,110,0.6364
openai,L4,DEVELOPMENT ACTIVITIES,290,0.7897
openai,L4,SOFTWARE PROCESS,290,0.3897
openai,L5,BUILD PATTERNS,50,0.4
openai,L5,QUALITY ASSURANCE,210,0.3762
openai,L5,INTEGRATION PATTERNS,180,0.6111
openai,L5,ISSUES AND DEFECTS,110,0.5818
openai,L5,DEVELOPMENT ACTIVITIES,290,0.7793
openai,L5,SOFTWARE PROCESS,290,0.4345
