kappa_type,task,level,run_id,model_a,model_b,kappa,n,interpretation,kappa_sd,n_pairs
model_vs_gold,code,L1,1,claude,gold,0.8238,113.0,Almost Perfect,,
model_vs_gold,theme,L1,1,claude,gold,0.8775,113.0,Almost Perfect,,
model_vs_gold,code,L1,2,claude,gold,0.833,113.0,Almost Perfect,,
model_vs_gold,theme,L1,2,claude,gold,0.8887,113.0,Almost Perfect,,
model_vs_gold,code,L1,3,claude,gold,0.833,113.0,Almost Perfect,,
model_vs_gold,theme,L1,3,claude,gold,0.8774,113.0,Almost Perfect,,
model_vs_gold,code,L1,4,claude,gold,0.8238,113.0,Almost Perfect,,
model_vs_gold,theme,L1,4,claude,gold,0.8775,113.0,Almost Perfect,,
model_vs_gold,code,L1,5,claude,gold,0.833,113.0,Almost Perfect,,
model_vs_gold,theme,L1,5,claude,gold,0.8887,113.0,Almost Perfect,,
model_vs_gold,code,L1,6,claude,gold,0.8238,113.0,Almost Perfect,,
model_vs_gold,theme,L1,6,claude,gold,0.8775,113.0,Almost Perfect,,
model_vs_gold,code,L1,7,claude,gold,0.833,113.0,Almost Perfect,,
model_vs_gold,theme,L1,7,claude,gold,0.8887,113.0,Almost Perfect,,
model_vs_gold,code,L1,8,claude,gold,0.8238,113.0,Almost Perfect,,
model_vs_gold,theme,L1,8,claude,gold,0.8775,113.0,Almost Perfect,,
model_vs_gold,code,L1,9,claude,gold,0.8238,113.0,Almost Perfect,,
model_vs_gold,theme,L1,9,claude,gold,0.8775,113.0,Almost Perfect,,
model_vs_gold,code,L1,10,claude,gold,0.8238,113.0,Almost Perfect,,
model_vs_gold,theme,L1,10,claude,gold,0.8663,113.0,Almost Perfect,,
model_vs_gold,code,L2,1,claude,gold,0.8035,112.0,Almost Perfect,,
model_vs_gold,theme,L2,1,claude,gold,0.8314,112.0,Almost Perfect,,
model_vs_gold,code,L2,2,claude,gold,0.8035,112.0,Almost Perfect,,
model_vs_gold,theme,L2,2,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L2,3,claude,gold,0.8035,112.0,Almost Perfect,,
model_vs_gold,theme,L2,3,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L2,4,claude,gold,0.8035,112.0,Almost Perfect,,
model_vs_gold,theme,L2,4,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L2,5,claude,gold,0.8035,112.0,Almost Perfect,,
model_vs_gold,theme,L2,5,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L2,6,claude,gold,0.8035,112.0,Almost Perfect,,
model_vs_gold,theme,L2,6,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L2,7,claude,gold,0.8035,112.0,Almost Perfect,,
model_vs_gold,theme,L2,7,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L2,8,claude,gold,0.8035,112.0,Almost Perfect,,
model_vs_gold,theme,L2,8,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L2,9,claude,gold,0.7943,112.0,Substantial,,
model_vs_gold,theme,L2,9,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L2,10,claude,gold,0.7943,112.0,Substantial,,
model_vs_gold,theme,L2,10,claude,gold,0.8427,112.0,Almost Perfect,,
model_vs_gold,code,L3,1,claude,gold,0.7849,112.0,Substantial,,
model_vs_gold,theme,L3,1,claude,gold,0.8323,113.0,Almost Perfect,,
model_vs_gold,code,L3,2,claude,gold,0.7962,113.0,Substantial,,
model_vs_gold,theme,L3,2,claude,gold,0.8438,113.0,Almost Perfect,,
model_vs_gold,code,L3,3,claude,gold,0.7962,113.0,Substantial,,
model_vs_gold,theme,L3,3,claude,gold,0.8438,113.0,Almost Perfect,,
model_vs_gold,code,L3,4,claude,gold,0.787,113.0,Substantial,,
model_vs_gold,theme,L3,4,claude,gold,0.8323,113.0,Almost Perfect,,
model_vs_gold,code,L3,5,claude,gold,0.7962,113.0,Substantial,,
model_vs_gold,theme,L3,5,claude,gold,0.8438,113.0,Almost Perfect,,
model_vs_gold,code,L3,6,claude,gold,0.7961,113.0,Substantial,,
model_vs_gold,theme,L3,6,claude,gold,0.8438,113.0,Almost Perfect,,
model_vs_gold,code,L3,7,claude,gold,0.7961,113.0,Substantial,,
model_vs_gold,theme,L3,7,claude,gold,0.8438,113.0,Almost Perfect,,
model_vs_gold,code,L3,8,claude,gold,0.7849,112.0,Substantial,,
model_vs_gold,theme,L3,8,claude,gold,0.8323,113.0,Almost Perfect,,
model_vs_gold,code,L3,9,claude,gold,0.7869,113.0,Substantial,,
model_vs_gold,theme,L3,9,claude,gold,0.8323,113.0,Almost Perfect,,
model_vs_gold,code,L3,10,claude,gold,0.787,113.0,Substantial,,
model_vs_gold,theme,L3,10,claude,gold,0.8323,113.0,Almost Perfect,,
model_vs_gold,code,L4,1,claude,gold,0.796,113.0,Substantial,,
model_vs_gold,theme,L4,1,claude,gold,0.833,113.0,Almost Perfect,,
model_vs_gold,code,L4,2,claude,gold,0.8052,113.0,Almost Perfect,,
