paper_id,claim,gt_code,gt_theme,correct_rate_overall,n_total,rate_claude,rate_deepseek,rate_openai,rate_L1,rate_L2,rate_L3,rate_L4,rate_L5,stability_class
C924,CI HELPS TO CATCH PROBLEMS AS EARLY AS POSSIBLE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C1004,"CI MAY BE CHALLENGING BY FLAKY TESTS (EG, “TESTS CAN SOMETIMES BE FLAKY, WHICH IS FRUSTRATING ”)",CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C978,"CI ALLOWS RUNNING THE TESTS IN THE CLOUD, FREEING UP PERSONAL MACHINES",CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C982,CI CAUSE LESS TIME DEBUGGING,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,DEVELOPMENT ACTIVITIES,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C974,CI HELPS TO CATCH BUGS EARLY,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C967,CI ENFORCES A SPECIFIC WORKFLOW,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,SOFTWARE PROCESS,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C1012,CI PROVIDED DETAILED INSIGHT FROM MANAGEMENT PERSPECTIVE,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,SOFTWARE PROCESS,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C1015,"CI BASED PROCESS AUTOMATION LETS THE TEST AND QA ENGINEERS TO BE INVOLVED IN THE DEVELOPMENT, CONTINUOUSLY",CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C999,CI REDUCES MANUAL WORK,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,SOFTWARE PROCESS,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C961,CI HELPS CATCH BUGS EARLIER,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C965,CI ALLOWS FASTER ITERATIONS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable_wrong
C957,THE COGNITIVELY DIFFICULT TASK OF INCONSISTENCY PREDICTION IS ABANDONED,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,DEVELOPMENT ACTIVITIES,0.067,150,0.2,0.0,0.0,0.333,0.0,0.0,0.0,0.0,stable_wrong
C916,CI IMPROVES THE CAPACITY TO RELEASE CLEAN CODE (CLEAN RELEASE BUILDS),CI IS ASSOCIATED WITH BUILD HEALTH,BUILD PATTERNS,0.087,150,0.26,0.0,0.0,0.0,0.0,0.0,0.1,0.333,stable_wrong
C1008,CI MAKES CAUGHT ISSUES EARLIER EVEN IN UNIT AND CSCI LEVEL TESTS,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,0.133,150,0.4,0.0,0.0,0.0,0.0,0.0,0.333,0.333,unstable
C1003,CI IMPLY MONETARY COSTS,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,0.167,150,0.5,0.0,0.0,0.333,0.0,0.333,0.0,0.167,unstable
C948,AFTER ADOPTING CI PROJECTS DELIVER 3.43 TIMES MORE PRS PER RELEASE THAN BEFORE CI,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,0.2,150,0.2,0.4,0.0,0.667,0.0,0.0,0.0,0.333,unstable
C987,SHORTEN THE INTEGRATION TIME,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,INTEGRATION PATTERNS,0.2,150,0.6,0.0,0.0,0.333,0.333,0.333,0.0,0.0,unstable
C940,CI CAN HELP DETECT MERGING ISSUES EARLY AND EASILY,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,0.273,150,0.8,0.0,0.02,0.0,0.333,0.367,0.333,0.333,unstable
C994,CI SUPPORTS THE TEAM TO CATCH PROBLEMS AS EARLY AS POSSIBLE.,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,0.273,150,0.82,0.0,0.0,0.333,0.333,0.167,0.2,0.333,unstable
C960,THE COGNITIVE TRACTABILITY OF THE PROGRAMMING TASK IS INCREASED BY THE SINGLE-PROGRAMMER ASSUMPTION.,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,DEVELOPMENT ACTIVITIES,0.3,150,0.48,0.42,0.0,0.133,0.0,0.033,0.667,0.667,unstable
C973,CONTINUOUS INTEGRATION IS NOT APPLIED DURING CRITICAL PERIODS FOR SOME DOMAIN (FINANCIAL AND E-COMMERCE),CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,DEVELOPMENT ACTIVITIES,0.333,150,1.0,0.0,0.0,0.333,0.333,0.333,0.333,0.333,unstable
C958,THE COMMUNICATION REQUIRED BY PROACTIVE INCONSISTENCY MITIGATION IS AVOIDED,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS,0.333,150,1.0,0.0,0.0,0.333,0.333,0.333,0.333,0.333,unstable
C903,CI ENCOURAGES DEVELOPERS TO GIVE VERY HIGH PRIORITY TO FIX BUILD BREAKAGES.,CI IS ASSOCIATED WITH BUILD HEALTH,BUILD PATTERNS,0.333,150,0.0,1.0,0.0,0.333,0.333,0.333,0.333,0.333,unstable
C944,ONLY 51.3% OF THE PROJECTS DELIVER MERGED PRS MORE QUICKLY AFTER THE ADOPTION OF CI,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,0.333,150,0.0,1.0,0.0,0.333,0.333,0.333,0.333,0.333,unstable
C1010,CI BUILT A SOLID FOUNDATION FOR QUANTITATIVE EVALUATION OF SOFTWARE PROGRESS,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,SOFTWARE PROCESS,0.333,150,1.0,0.0,0.0,0.333,0.333,0.333,0.333,0.333,unstable
C993,IMPROVE SOFTWARE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,0.387,150,0.56,0.6,0.0,0.333,0.6,0.667,0.0,0.333,unstable
C926,CI IMPROVES THE FAST DEVELOPMENT CYCLE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,0.413,150,0.6,0.6,0.04,0.667,0.7,0.7,0.0,0.0,unstable
C1013,CI INCREASED SOFTWARE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,0.44,150,0.34,0.8,0.18,0.733,0.333,0.367,0.367,0.4,unstable
C897,CI REDUCES THE CHECKIN OVERHEAD,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,DEVELOPMENT ACTIVITIES,0.513,150,1.0,0.0,0.54,0.4,0.333,0.5,0.667,0.667,mostly_correct
C995,ENFORCE AUTOMATED SOFTWARE TESTING,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,0.553,150,1.0,0.4,0.26,0.667,0.567,0.8,0.333,0.4,mostly_correct
C930,CI GENERATED TECHNICAL PROBLEMS IS PARTICULARLY CHALLENGING FOR ONBOARDING NEWCOMERS (SINCE THEY “DO NOT UNDERSTAND WHAT CI DOES AND WHAT IT DOESN’T”.),CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,SOFTWARE PROCESS,0.607,150,1.0,0.82,0.0,0.667,0.667,0.367,0.667,0.667,mostly_correct
C909,CI IS THE RIGHT CONTEXT FOR MAKING CONTINUOUS REFACTORING POSSIBLE TO APPLY.( CONTINUOUS REFACTORING SHOULD BE INCLUDED AMONG THE PATTERNS TO FOLLOW IN ORDER TO FULLY BENEFIT FROM THE ADOPTION OF CI. ),CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,QUALITY ASSURANCE,0.647,150,0.74,1.0,0.2,0.667,0.9,0.6,0.733,0.333,mostly_correct
C947,71.3% (62/87) OF THE PROJECTS INCREASE PR SUBMISSIONS AFTER ADOPTING CI.,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,0.667,150,0.0,1.0,1.0,0.667,0.667,0.667,0.667,0.667,mostly_correct
C913,"WHEN EVERYTHING IS A MOVING TARGET, CONTINUOUS INTEGRATION CAN PROVIDE STABLE GROUND",CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,SOFTWARE PROCESS,0.667,150,1.0,1.0,0.0,0.667,0.667,0.667,0.667,0.667,mostly_correct
C896,LACK OF SUPPORT FOR NEEDED TECHNOLOGY IS ASSOCIATED WITH AN INCREASE RISK OF ABANDONING,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,SOFTWARE PROCESS,0.667,150,1.0,1.0,0.0,0.667,0.667,0.667,0.667,0.667,mostly_correct
C969,PROJECTS WITH CI GIVE MORE VALUE TO AUTOMATED TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,0.667,150,1.0,1.0,0.0,0.667,0.667,0.667,0.667,0.667,mostly_correct
C949,WE FIND THAT 75.9% (66/87) OF THE STUDIED PROJECTS TEND TO INCREASE THE NUMBER OF PR CONTRIBUTORS PER RELEASE AFTER ADOPTING CI.,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS,0.667,150,1.0,0.0,1.0,0.667,0.667,0.667,0.667,0.667,mostly_correct
C921,CI -> IMPROVES PROJECT PREDICTABILITY,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,SOFTWARE PROCESS,0.667,150,1.0,1.0,0.0,0.667,0.667,0.667,0.667,0.667,mostly_correct
C970,PROJECTS WITH CI HAVE HIGHER QUALITY TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,0.68,150,1.0,1.0,0.04,0.667,0.667,0.667,0.667,0.733,mostly_correct
C892,CI INCREASES NORMALIZED COMMIT FREQUENCY [FOR OSS PROJECTS],CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,INTEGRATION PATTERNS,0.687,150,1.0,1.0,0.06,0.767,0.667,0.667,0.667,0.667,mostly_correct
C959,CI FORCES MORE TEST EFFORT,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,0.693,150,0.76,1.0,0.32,1.0,0.867,0.333,0.6,0.667,mostly_correct
C981,CI HELP TO TEST IN A REAL-WORLD ENVIRONMENT,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,QUALITY ASSURANCE,0.7,150,1.0,1.0,0.1,0.833,0.667,0.667,0.667,0.667,mostly_correct
C893,CI INCREASES COMMIT SIZE [FOR OSS PROJECTS],CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,INTEGRATION PATTERNS,0.72,150,1.0,1.0,0.16,0.667,0.933,0.667,0.667,0.667,mostly_correct
C985,DECREASES BUILD BREAKAGE,CI IS ASSOCIATED WITH BUILD HEALTH,BUILD PATTERNS,0.74,150,1.0,1.0,0.22,0.967,0.733,0.667,0.667,0.667,mostly_correct
C912,THE INTEGRATION TOOL-CHAIN ENABLED SHORTER FEEDBACK CYCLES,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,SOFTWARE PROCESS,0.74,150,1.0,1.0,0.22,1.0,0.667,0.7,0.667,0.667,mostly_correct
C891,CI BRING CHALLENGES WHEN IMPLEMENTING IN PRACTICE,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,SOFTWARE PROCESS,0.767,150,1.0,1.0,0.3,0.667,0.933,0.767,0.8,0.667,mostly_correct
