model_short,level,gt_code,pred_code,count,gt_theme,pred_theme,cross_theme
openai,L4,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,__INVALID__,47,QUALITY ASSURANCE,,True
openai,L5,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,__INVALID__,45,QUALITY ASSURANCE,,True
openai,L3,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,__INVALID__,44,QUALITY ASSURANCE,,True
openai,L2,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,__INVALID__,40,QUALITY ASSURANCE,,True
openai,L3,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,__INVALID__,40,SOFTWARE PROCESS,,True
openai,L2,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,__INVALID__,40,SOFTWARE PROCESS,,True
openai,L1,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,__INVALID__,40,SOFTWARE PROCESS,,True
openai,L5,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,__INVALID__,40,SOFTWARE PROCESS,,True
deepseek,L1,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,40,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
openai,L4,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,__INVALID__,40,SOFTWARE PROCESS,,True
openai,L3,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,__INVALID__,35,QUALITY ASSURANCE,,True
deepseek,L4,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,30,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
deepseek,L5,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,30,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
deepseek,L2,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,30,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
deepseek,L3,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,30,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
openai,L5,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,30,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
openai,L1,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,29,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
openai,L4,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,__INVALID__,29,INTEGRATION PATTERNS,,True
openai,L5,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,28,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
openai,L1,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,__INVALID__,27,QUALITY ASSURANCE,,True
openai,L4,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,CI IS ASSOCIATED WITH HUMAN CHALLENGES,26,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
openai,L3,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,26,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
openai,L3,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,__INVALID__,25,SOFTWARE PROCESS,,True
openai,L1,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,__INVALID__,25,QUALITY ASSURANCE,,True
openai,L4,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,25,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
openai,L2,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,24,INTEGRATION PATTERNS,INTEGRATION PATTERNS,False
claude,L4,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,24,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
openai,L5,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,CI IS ASSOCIATED WITH HUMAN CHALLENGES,24,SOFTWARE PROCESS,DEVELOPMENT ACTIVITIES,True
openai,L3,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,24,ISSUES AND DEFECTS,ISSUES AND DEFECTS,False
