code,count,theme,pct,imbalance_ratio
CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,9,QUALITY ASSURANCE,7.96,1.0
CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,9,INTEGRATION PATTERNS,7.96,1.0
CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,8,SOFTWARE PROCESS,7.08,1.12
CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,8,DEVELOPMENT ACTIVITIES,7.08,1.12
CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,7,QUALITY ASSURANCE,6.19,1.29
CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,7,SOFTWARE PROCESS,6.19,1.29
CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,6,DEVELOPMENT ACTIVITIES,5.31,1.5
CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,6,ISSUES AND DEFECTS,5.31,1.5
CI IS ASSOCIATED WITH DEFECTS REDUCTION,4,ISSUES AND DEFECTS,3.54,2.25
CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,4,INTEGRATION PATTERNS,3.54,2.25
CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,4,QUALITY ASSURANCE,3.54,2.25
CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,4,SOFTWARE PROCESS,3.54,2.25
CI IS ASSOCIATED WITH BUILD HEALTH,4,BUILD PATTERNS,3.54,2.25
CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,4,DEVELOPMENT ACTIVITIES,3.54,2.25
CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,4,SOFTWARE PROCESS,3.54,2.25
CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,3,DEVELOPMENT ACTIVITIES,2.65,3.0
CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,3,DEVELOPMENT ACTIVITIES,2.65,3.0
CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,3,INTEGRATION PATTERNS,2.65,3.0
CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,3,SOFTWARE PROCESS,2.65,3.0
CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,2,INTEGRATION PATTERNS,1.77,4.5
CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,1,QUALITY ASSURANCE,0.88,9.0
CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,1,SOFTWARE PROCESS,0.88,9.0
CI IS ASSOCIATED WITH AN IMPROVEMENT IN SATISFACTION,1,DEVELOPMENT ACTIVITIES,0.88,9.0
CI FACILITATES THE TRANSITION TO AGILE,1,SOFTWARE PROCESS,0.88,9.0
CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,1,SOFTWARE PROCESS,0.88,9.0
CI IS ASSOCIATED WITH HUMAN CHALLENGES,1,DEVELOPMENT ACTIVITIES,0.88,9.0
CI IS ASSOCIATED WITH ISSUES REDUCTION,1,ISSUES AND DEFECTS,0.88,9.0
CI IS ASSOCIATED WITH A DECREASE IN MAGNETISM AND RETENTION,1,DEVELOPMENT ACTIVITIES,0.88,9.0
CI IS ASSOCIATED WITH A DECREASED PERCEPTION OF PRODUCTIVITY,1,DEVELOPMENT ACTIVITIES,0.88,9.0
CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,1,SOFTWARE PROCESS,0.88,9.0
CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,1,BUILD PATTERNS,0.88,9.0
