paper_id,total,correct,correct_rate,claim,gt_code,gt_theme
C1004,150,0,0.0,"CI MAY BE CHALLENGING BY FLAKY TESTS (EG, “TESTS CAN SOMETIMES BE FLAKY, WHICH IS FRUSTRATING ”)",CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES
C1012,150,0,0.0,CI PROVIDED DETAILED INSIGHT FROM MANAGEMENT PERSPECTIVE,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,SOFTWARE PROCESS
C1015,150,0,0.0,"CI BASED PROCESS AUTOMATION LETS THE TEST AND QA ENGINEERS TO BE INVOLVED IN THE DEVELOPMENT, CONTINUOUSLY",CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS
C924,150,0,0.0,CI HELPS TO CATCH PROBLEMS AS EARLY AS POSSIBLE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE
C965,150,0,0.0,CI ALLOWS FASTER ITERATIONS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS
C967,150,0,0.0,CI ENFORCES A SPECIFIC WORKFLOW,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,SOFTWARE PROCESS
C978,150,0,0.0,"CI ALLOWS RUNNING THE TESTS IN THE CLOUD, FREEING UP PERSONAL MACHINES",CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE
C961,150,0,0.0,CI HELPS CATCH BUGS EARLIER,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS
C982,150,0,0.0,CI CAUSE LESS TIME DEBUGGING,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,DEVELOPMENT ACTIVITIES
C999,150,0,0.0,CI REDUCES MANUAL WORK,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,SOFTWARE PROCESS
C974,150,0,0.0,CI HELPS TO CATCH BUGS EARLY,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS
