gt_code,n_total,n_correct,correct_rate,error_rate,theme,most_confused_with,confusion_count,difficulty_rank
CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,450,150,0.333,0.667,SOFTWARE PROCESS,CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,100.0,1
CI IS ASSOCIATED WITH ORGANIZATIONAL CHALLENGES,150,50,0.333,0.667,SOFTWARE PROCESS,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,50.0,1
CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,900,331,0.368,0.632,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,380.0,3
CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,600,250,0.417,0.583,SOFTWARE PROCESS,__INVALID__,200.0,4
CI IS ASSOCIATED WITH A WORKLOAD REDUCTION,450,237,0.527,0.473,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH HUMAN CHALLENGES,86.0,5
CI IS ASSOCIATED WITH BUILD HEALTH,600,324,0.54,0.46,BUILD PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,77.0,6
CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,150,97,0.647,0.353,QUALITY ASSURANCE,__INVALID__,53.0,7
CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,1050,694,0.661,0.339,QUALITY ASSURANCE,__INVALID__,135.0,8
CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,450,300,0.667,0.333,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,70.0,9
CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,1350,910,0.674,0.326,QUALITY ASSURANCE,__INVALID__,177.0,10
CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,1200,821,0.684,0.316,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,150.0,11
CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,1350,941,0.697,0.303,INTEGRATION PATTERNS,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,179.0,12
CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,450,330,0.733,0.267,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,64.0,13
CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,1050,771,0.734,0.266,SOFTWARE PROCESS,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,213.0,14
CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,150,111,0.74,0.26,SOFTWARE PROCESS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,39.0,15
CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,600,456,0.76,0.24,SOFTWARE PROCESS,CI IS ASSOCIATED WITH HUMAN CHALLENGES,109.0,16
CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,150,116,0.773,0.227,SOFTWARE PROCESS,__INVALID__,34.0,17
CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,600,475,0.792,0.208,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,75.0,18
CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,600,497,0.828,0.172,INTEGRATION PATTERNS,__INVALID__,95.0,19
CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,900,783,0.87,0.13,DEVELOPMENT ACTIVITIES,__INVALID__,44.0,20
CI IS ASSOCIATED WITH ISSUES REDUCTION,150,131,0.873,0.127,ISSUES AND DEFECTS,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,19.0,21
CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,1200,1049,0.874,0.126,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,100.0,22
CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,600,535,0.892,0.108,QUALITY ASSURANCE,__INVALID__,36.0,23
CI IS ASSOCIATED WITH DEFECTS REDUCTION,600,549,0.915,0.085,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH ISSUES REDUCTION,41.0,24
CI FACILITATES THE TRANSITION TO AGILE,150,145,0.967,0.033,SOFTWARE PROCESS,__INVALID__,5.0,25
CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,300,290,0.967,0.033,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,10.0,25
CI IS ASSOCIATED WITH HUMAN CHALLENGES,150,149,0.993,0.007,DEVELOPMENT ACTIVITIES,__INVALID__,1.0,27
CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,150,150,1.0,0.0,BUILD PATTERNS,,,29
CI IS ASSOCIATED WITH AN IMPROVEMENT IN SATISFACTION,150,150,1.0,0.0,DEVELOPMENT ACTIVITIES,,,29
CI IS ASSOCIATED WITH A DECREASE IN MAGNETISM AND RETENTION,150,150,1.0,0.0,DEVELOPMENT ACTIVITIES,,,29
CI IS ASSOCIATED WITH A DECREASED PERCEPTION OF PRODUCTIVITY,150,150,1.0,0.0,DEVELOPMENT ACTIVITIES,,,29
